,LOCATION,WIDTH,DEPTH,X_COORDINATE,HEIGHT,X,AISLE,Y,MAXIMUM_VOLUME,Z,CURRENT_ASSIGNED_SKU,CENTERAXIS,BAY
49,PX3014,1.361915553281094,1.361915553281094,264.922,1.361915553281094,262.5217,PX,144.4528,2.5261,0.0,1044529.0,X,0
50,PX3018,1.361915553281094,1.361915553281094,264.922,1.361915553281094,262.5217,PX,143.2087,2.5261,0.0,1041316.0,X,0
51,PX3210,1.361915553281094,1.361915553281094,264.922,1.361915553281094,262.5217,PX,141.9646,2.5261,0.0,1003930.0,X,0
52,PX3214,1.361915553281094,1.361915553281094,264.922,1.361915553281094,262.5217,PX,140.7205,2.5261,0.0,1037734.0,X,0
53,PX3218,1.361915553281094,1.361915553281094,264.922,1.361915553281094,262.5217,PX,139.4764,2.5261,0.0,1003928.0,X,0
54,PX3410,1.361915553281094,1.361915553281094,264.922,1.361915553281094,262.5217,PX,138.2323,2.5261,0.0,1011256.0,X,0
55,PX3414,1.361915553281094,1.361915553281094,264.922,1.361915553281094,262.5217,PX,136.9882,2.5261,0.0,1041287.0,X,0
56,PX3418,1.361915553281094,1.361915553281094,264.922,1.361915553281094,262.5217,PX,135.7441,2.5261,0.0,1041321.0,X,0
57,PX3610,1.361915553281094,1.361915553281094,264.922,1.361915553281094,262.5217,PX,134.5,2.5261,0.0,1041324.0,X,0
58,PX3614,1.361915553281094,1.361915553281094,264.922,1.361915553281094,262.5217,PX,133.2559,2.5261,0.0,1041290.0,X,0
59,PX3618,1.361915553281094,1.361915553281094,264.922,1.361915553281094,262.5217,PX,132.0118,2.5261,0.0,1041321.0,X,0
60,PX3810,1.361915553281094,1.361915553281094,264.922,1.361915553281094,262.5217,PX,130.7677,2.5261,0.0,1038201.0,X,0
61,PX3814,1.361915553281094,1.361915553281094,264.922,1.361915553281094,262.5217,PX,129.5236,2.5261,0.0,1044463.0,X,0
62,PX3818,1.361915553281094,1.361915553281094,264.922,1.361915553281094,262.5217,PX,128.2795,2.5261,0.0,1006576.0,X,0
63,PX4010,1.361915553281094,1.361915553281094,264.922,1.361915553281094,262.5217,PX,127.0354,2.5261,0.0,1041326.0,X,0
64,PX4014,1.361915553281094,1.361915553281094,264.922,1.361915553281094,262.5217,PX,125.7913,2.5261,0.0,1041891.0,X,0
65,PX4018,1.361915553281094,1.361915553281094,264.922,1.361915553281094,262.5217,PX,124.5472,2.5261,0.0,1044464.0,X,0
66,PX4111,1.361915553281094,1.361915553281094,264.922,1.361915553281094,267.3223,PX,127.0354,2.5261,0.0,,X,0
67,PX4115,1.361915553281094,1.361915553281094,264.922,1.361915553281094,267.3223,PX,125.7913,2.5261,0.0,,X,0
68,PX4119,1.361915553281094,1.361915553281094,264.922,1.361915553281094,267.3223,PX,124.5472,2.5261,0.0,,X,0
69,PALPX4210,1.0,1.0,264.922,0.0373,262.5217,PX,121.9962,0.0373,0.0,,X,0
70,DA4119,1.361915553281094,1.361915553281094,258.6482,1.361915553281094,261.0485,DA,124.5472,2.5261,0.0,1041291.0,X,0
71,DA4115,1.361915553281094,1.361915553281094,258.6482,1.361915553281094,261.0485,DA,125.7913,2.5261,0.0,1041293.0,X,0
72,DA4111,1.361915553281094,1.361915553281094,258.6482,1.361915553281094,261.0485,DA,127.0354,2.5261,0.0,1041289.0,X,0
73,DA4018,1.361915553281094,1.361915553281094,258.6482,1.361915553281094,256.2479,DA,124.5472,2.5261,0.0,1044263.0,X,0
74,DA4014,1.361915553281094,1.361915553281094,258.6482,1.361915553281094,256.2479,DA,125.7913,2.5261,0.0,,X,0
75,DA4010,1.361915553281094,1.361915553281094,258.6482,1.361915553281094,256.2479,DA,127.0354,2.5261,0.0,1044263.0,X,0
76,DA3818,1.361915553281094,1.361915553281094,258.6482,1.361915553281094,256.2479,DA,128.2795,2.5261,0.0,1017697.0,X,0
77,DA3814,1.361915553281094,1.361915553281094,258.6482,1.361915553281094,256.2479,DA,129.5236,2.5261,0.0,1031556.0,X,0
78,DA3810,1.361915553281094,1.361915553281094,258.6482,1.361915553281094,256.2479,DA,130.7677,2.5261,0.0,,X,0
79,DA3919,1.361915553281094,1.361915553281094,258.6482,1.361915553281094,261.0485,DA,128.2795,2.5261,0.0,1041288.0,X,0
80,DA3915,1.361915553281094,1.361915553281094,258.6482,1.361915553281094,261.0485,DA,129.5236,2.5261,0.0,1031527.0,X,0
81,DA3911,1.361915553281094,1.361915553281094,258.6482,1.361915553281094,261.0485,DA,130.7677,2.5261,0.0,1004920.0,X,0
82,DA3719,1.361915553281094,1.361915553281094,258.6482,1.361915553281094,261.0485,DA,132.0118,2.5261,0.0,1009864.0,X,0
83,DA3715,1.361915553281094,1.361915553281094,258.6482,1.361915553281094,261.0485,DA,133.2559,2.5261,0.0,1022751.0,X,0
84,DA3711,1.361915553281094,1.361915553281094,258.6482,1.361915553281094,261.0485,DA,134.5,2.5261,0.0,,X,0
85,DA3618,1.361915553281094,1.361915553281094,258.6482,1.361915553281094,256.2479,DA,132.0118,2.5261,0.0,1031555.0,X,0
86,DA3614,1.361915553281094,1.361915553281094,258.6482,1.361915553281094,256.2479,DA,133.2559,2.5261,0.0,1017687.0,X,0
87,DA3610,1.361915553281094,1.361915553281094,258.6482,1.361915553281094,256.2479,DA,134.5,2.5261,0.0,1011457.0,X,0
